X,Y,r,Measurement
-1818,-779,1977.8688,66.5
-2219,-895,2392.6943,65.8
-1686,-903,1912.5912,67.1
-2038,-927,2238.9223,69.2
-1805,-1164,2147.7712,65.8
-1288,-920,1582.8278,66.1
-727,-964,1207.4042,65.6
-196,-1244,1259.3459,67.0
-711,-1464,1627.5187,68.6
-994,-1334,1663.6081,68.5
-745,-1331,1525.315,66.9
-1123,-1495,1869.8005,67.5
-1553,-1467,2136.3282,67.3
-1602,-1079,1931.4878,66.5
-1216,-1103,1641.7262,68.1
-1065,-763,1310.1122,68.5
-690,-1207,1390.3054,65.7
-144,-1093,1102.445,66.4
-350,-729,808.6662,66.9
-354,-1173,1225.253,67.4
-1871,-1036,2138.6765,64.8
-1363,-962,1668.2964,67.5
-966,-1253,1582.1394,68.4
-1302,-1151,1737.8162,66.1
-1005,-1037,1444.0893,67.7
-674,-776,1027.8385,68.7
-235,-780,814.6318,67.2
6,-1049,1049.0172,67.4
-414,-1421,1480.0801,65.5
58,-1340,1341.2546,65.5
-1516,-1220,1945.9332,66.9
-1891,-1403,2354.6316,67.1
-1327,-1370,1907.3094,66.5
-1145,-832,1415.3618,65.6
-733,-778,1068.9121,67.2
-597,-1278,1410.5648,68.3
-388,-743,838.2082,65.4
158,-913,926.5706,67.9
199,-1234,1249.9428,68.1
325,-1517,1551.4232,70.0
-781,-1314,1528.5801,67.1
-969,-788,1248.9616,67.1
-1128,-1086,1565.8161,67.6
-981,-585,1142.1847,67.1
-671,-634,923.1452,66.2
-191,-512,546.4659,66.2
-507,-496,709.2708,67.2
-872,-942,1283.6464,68.9
-1162,-745,1380.3148,66.1
-857,-630,1063.6489,66.7
-1230,-707,1418.7139,68.4
-1160,-1031,1551.9539,67.2
-773,-985,1252.0998,66.3
-434,-1223,1297.723,67.6
-288,-805,854.9673,67.6
-572,-1037,1184.2943,67.1
-964,-1093,1457.3761,67.0
-1062,-1448,1795.7026,68.4
-1247,-1204,1733.3854,66.9
-1230,-1508,1946.0123,67.6
-2780,-1119,2996.7584,64.8
-2256,-1284,2595.8028,65.3
-1736,-1129,2070.83,66.0
-1168,-1054,1573.2578,66.1
-749,-795,1092.2573,66.0
-1235,-849,1498.6747,69.4
-992,-1081,1467.1827,67.9
-1463,-749,1643.5845,66.1
-1914,-932,2128.8542,67.2
-2222,-1150,2501.956,67.6
-162,-1065,1077.2507,66.9
-526,-598,796.417,66.7
-246,-981,1011.3738,66.9
-816,-1138,1400.3214,67.2
-961,-1414,1709.6541,68.3
-976,-1059,1440.1587,68.2
-646,-744,985.3182,66.6
-170,-619,641.9198,66.3
136,-880,890.4471,68.6
146,-1375,1382.7295,67.6
-555,-473,729.2146,66.7
-535,-794,957.4241,68.2
-795,-1023,1295.5902,67.6
-579,-718,922.3692,65.7
-889,-627,1087.8649,66.9
-1119,-1133,1592.4352,68.0
-1187,-793,1427.5216,67.4
-1530,-1135,1905.0262,66.0
-1101,-1300,1703.5847,66.5
-1427,-1445,2030.8506,68.6
-334,-927,985.335,66.1
63,-948,950.091,66.1
-314,-1083,1127.6014,65.7
-820,-1324,1557.3619,67.2
-764,-824,1123.6868,66.8
-673,-1115,1302.3648,66.9
-638,-662,919.3955,67.2
-1045,-864,1355.9207,68.0
-1352,-1149,1774.29,66.9
-1904,-984,2143.2387,66.4
-1939,-991,2177.5679,69.4
-1688,-1401,2193.6602,67.1
-1933,-1132,2240.0699,66.0
-1582,-772,1760.3147,66.0
-1227,-596,1364.0913,66.8
-845,-903,1236.7029,69.0
-806,-498,947.4387,68.2
-769,-841,1139.5797,65.7
-1093,-814,1362.8078,68.7
-943,-1314,1617.3574,68.0
-573,-1262,1385.9917,69.1
-297,-909,956.2897,65.6
-768,-1097,1339.1165,65.7
-1032,-874,1352.3683,66.3
-1172,-464,1260.5078,66.6
-1174,-812,1427.4523,64.0
-759,-877,1159.8319,68.6
