X,Y,r,Measurement
2754,-1330,3058.3355,10.81
2729,-805,2845.2532,12.58
2932,-1121,3138.9911,12.35
2920,-669,2995.657,11.13
3120,-1138,3321.0607,11.66
3143,-571,3194.4467,13.5
3674,-824,3765.2692,13.51
3402,-448,3431.3712,11.71
3514,-126,3516.2582,11.75
3512,218,3518.7594,12.12
1829,104,1831.9544,11.05
2120,29,2120.1983,12.35
1675,-278,1697.9131,11.05
1837,-697,1964.7845,11.77
2295,-742,2411.9679,13.16
2719,-1111,2937.2235,13.54
2836,-607,2900.2319,12.52
3325,-499,3362.2353,11.53
2988,-392,3013.6038,11.98
3451,-352,3468.9054,10.97
4065,-365,4081.3539,11.9
4470,-139,4472.1607,11.46
4821,-306,4830.7015,13.18
4906,-823,4974.5517,11.08
4551,-793,4619.5725,13.25
4085,-595,4128.1049,11.73
3750,-478,3780.3418,12.28
3608,-94,3609.2243,10.8
3121,-120,3123.3061,11.73
2588,-156,2592.6974,10.78
2003,-1337,2408.2313,11.99
1729,-1480,2275.9264,12.69
1943,-1003,2186.6088,12.3
1972,-554,2048.3408,10.46
2307,-844,2456.5392,11.42
2870,-742,2964.3657,12.62
2388,-711,2491.5989,12.14
2627,-289,2642.8488,12.62
3180,-364,3200.7649,13.1
3054,-891,3181.32,11.67
1933,-1732,2595.4408,11.29
1689,-1986,2607.0898,11.89
1580,-1583,2236.5798,12.48
1080,-1354,1731.9688,10.42
1618,-1301,2076.1804,10.88
1935,-1333,2349.7051,12.32
2144,-969,2352.8062,11.29
2503,-685,2595.0403,11.64
2208,-380,2240.4607,12.26
2367,91,2368.7486,10.59
1250,-1001,1601.4059,12.02
1440,-1245,1903.5821,12.49
1153,-1614,1983.5335,12.5
750,-1218,1430.393,12.23
932,-751,1196.9231,12.69
610,-595,852.1297,11.83
202,-549,584.9829,10.29
520,-248,576.1111,10.61
17,-565,565.2557,12.36
69,-222,232.4758,11.86
-564,-917,1076.5617,12.21
-745,-530,914.2893,12.07
-1067,-593,1220.7121,11.29
-1338,-989,1663.8404,10.72
-1707,-748,1863.6934,13.67
-1490,-1208,1918.1668,11.26
-1591,-1708,2334.2119,11.66
-1108,-1804,2117.0923,12.86
-1412,-1865,2339.224,14.09
-1558,-1580,2218.9556,12.99
417,-910,1000.994,11.54
-53,-758,759.8506,11.81
-540,-629,829.0,10.97
-798,-1046,1315.6443,11.19
-724,-1626,1779.9022,13.63
-937,-1333,1629.3735,13.61
-1206,-1770,2141.8067,12.48
-1527,-1583,2199.4586,11.97
-1344,-1864,2298.0061,13.22
-1104,-2282,2535.0227,11.99
507,-2159,2217.7308,11.85
251,-1846,1862.986,10.85
221,-2190,2201.1227,12.57
-154,-1898,1904.2374,11.43
-308,-2243,2264.0479,10.76
-397,-2543,2573.8022,11.21
-890,-2356,2518.4988,10.68
-519,-2311,2368.5612,13.28
-730,-1932,2065.3145,13.38
-1181,-1700,2069.9664,12.95
1435,-2369,2769.7267,11.26
