X,Y,r,Measurement
2754,-1330,3058.3355,70.5
2729,-805,2845.2532,70.8
2932,-1121,3138.9911,68.9
2920,-669,2995.657,68.9
3120,-1138,3321.0607,67.2
3143,-571,3194.4467,67.4
3674,-824,3765.2692,70.1
3402,-448,3431.3712,69.8
3514,-126,3516.2582,69.9
3512,218,3518.7594,69.8
1829,104,1831.9544,70.1
2120,29,2120.1983,68.1
1675,-278,1697.9131,69.8
1837,-697,1964.7845,69.4
2295,-742,2411.9679,67.8
2719,-1111,2937.2235,69.0
2836,-607,2900.2319,69.0
3325,-499,3362.2353,66.8
2988,-392,3013.6038,69.2
3451,-352,3468.9054,68.9
4065,-365,4081.3539,68.9
4470,-139,4472.1607,71.4
4821,-306,4830.7015,71.8
4906,-823,4974.5517,67.6
4551,-793,4619.5725,71.8
4085,-595,4128.1049,69.0
3750,-478,3780.3418,68.8
3608,-94,3609.2243,67.9
3121,-120,3123.3061,69.5
2588,-156,2592.6974,69.2
2003,-1337,2408.2313,67.3
1729,-1480,2275.9264,67.9
1943,-1003,2186.6088,69.6
1972,-554,2048.3408,70.5
2307,-844,2456.5392,70.3
2870,-742,2964.3657,67.6
2388,-711,2491.5989,67.7
2627,-289,2642.8488,69.4
3180,-364,3200.7649,68.7
3054,-891,3181.32,68.5
1933,-1732,2595.4408,69.4
1689,-1986,2607.0898,68.0
1580,-1583,2236.5798,68.7
1080,-1354,1731.9688,69.5
1618,-1301,2076.1804,68.5
1935,-1333,2349.7051,69.7
2144,-969,2352.8062,70.0
2503,-685,2595.0403,71.1
2208,-380,2240.4607,69.5
2367,91,2368.7486,70.7
1250,-1001,1601.4059,70.1
1440,-1245,1903.5821,67.0
1153,-1614,1983.5335,68.1
750,-1218,1430.393,67.3
932,-751,1196.9231,67.1
610,-595,852.1297,67.8
202,-549,584.9829,68.8
520,-248,576.1111,68.6
17,-565,565.2557,68.1
69,-222,232.4758,70.1
-564,-917,1076.5617,67.3
-745,-530,914.2893,68.5
-1067,-593,1220.7121,68.9
-1338,-989,1663.8404,69.7
-1707,-748,1863.6934,70.2
-1490,-1208,1918.1668,70.3
-1591,-1708,2334.2119,68.0
-1108,-1804,2117.0923,70.1
-1412,-1865,2339.224,70.0
-1558,-1580,2218.9556,69.4
417,-910,1000.994,68.9
-53,-758,759.8506,66.0
-540,-629,829.0,66.7
-798,-1046,1315.6443,70.5
-724,-1626,1779.9022,67.4
-937,-1333,1629.3735,69.6
-1206,-1770,2141.8067,68.3
-1527,-1583,2199.4586,70.2
-1344,-1864,2298.0061,71.0
-1104,-2282,2535.0227,71.0
507,-2159,2217.7308,70.5
251,-1846,1862.986,69.6
221,-2190,2201.1227,68.8
-154,-1898,1904.2374,69.9
-308,-2243,2264.0479,69.7
-397,-2543,2573.8022,67.8
-890,-2356,2518.4988,68.5
-519,-2311,2368.5612,68.1
-730,-1932,2065.3145,71.3
-1181,-1700,2069.9664,69.2
1435,-2369,2769.7267,68.7
