X,Y,r,Measurement
2754,-1330,3058.3355,13.6
2729,-805,2845.2532,11.75
2932,-1121,3138.9911,12.58
2920,-669,2995.657,12.66
3120,-1138,3321.0607,12.16
3143,-571,3194.4467,12.68
3674,-824,3765.2692,13.36
3402,-448,3431.3712,11.53
3514,-126,3516.2582,11.31
3512,218,3518.7594,12.09
1829,104,1831.9544,10.96
2120,29,2120.1983,10.01
1675,-278,1697.9131,12.46
1837,-697,1964.7845,13.2
2295,-742,2411.9679,10.64
2719,-1111,2937.2235,12.29
2836,-607,2900.2319,10.54
3325,-499,3362.2353,10.56
2988,-392,3013.6038,11.88
3451,-352,3468.9054,12.03
4065,-365,4081.3539,10.24
4470,-139,4472.1607,9.54
4821,-306,4830.7015,10.63
4906,-823,4974.5517,12.63
4551,-793,4619.5725,12.94
4085,-595,4128.1049,11.38
3750,-478,3780.3418,12.5
3608,-94,3609.2243,11.2
3121,-120,3123.3061,11.41
2588,-156,2592.6974,10.53
2003,-1337,2408.2313,11.36
1729,-1480,2275.9264,11.07
1943,-1003,2186.6088,13.08
1972,-554,2048.3408,10.09
2307,-844,2456.5392,11.03
2870,-742,2964.3657,12.58
2388,-711,2491.5989,11.79
2627,-289,2642.8488,11.16
3180,-364,3200.7649,13.21
3054,-891,3181.32,11.63
1933,-1732,2595.4408,11.81
1689,-1986,2607.0898,11.37
1580,-1583,2236.5798,12.82
1080,-1354,1731.9688,11.6
1618,-1301,2076.1804,12.73
1935,-1333,2349.7051,11.39
2144,-969,2352.8062,11.38
2503,-685,2595.0403,12.43
2208,-380,2240.4607,10.63
2367,91,2368.7486,10.91
1250,-1001,1601.4059,12.47
1440,-1245,1903.5821,13.47
1153,-1614,1983.5335,12.2
750,-1218,1430.393,12.41
932,-751,1196.9231,10.21
610,-595,852.1297,11.51
202,-549,584.9829,10.15
520,-248,576.1111,12.86
17,-565,565.2557,10.26
69,-222,232.4758,9.95
-564,-917,1076.5617,13.32
-745,-530,914.2893,11.03
-1067,-593,1220.7121,12.78
-1338,-989,1663.8404,11.22
-1707,-748,1863.6934,11.07
-1490,-1208,1918.1668,11.76
-1591,-1708,2334.2119,12.87
-1108,-1804,2117.0923,13.05
-1412,-1865,2339.224,9.75
-1558,-1580,2218.9556,12.65
417,-910,1000.994,13.04
-53,-758,759.8506,10.94
-540,-629,829.0,13.36
-798,-1046,1315.6443,13.86
-724,-1626,1779.9022,12.46
-937,-1333,1629.3735,11.88
-1206,-1770,2141.8067,13.71
-1527,-1583,2199.4586,12.94
-1344,-1864,2298.0061,13.41
-1104,-2282,2535.0227,14.1
507,-2159,2217.7308,10.77
251,-1846,1862.986,11.07
221,-2190,2201.1227,9.31
-154,-1898,1904.2374,11.13
-308,-2243,2264.0479,9.06
-397,-2543,2573.8022,12.34
-890,-2356,2518.4988,12.23
-519,-2311,2368.5612,9.97
-730,-1932,2065.3145,11.29
-1181,-1700,2069.9664,11.22
1435,-2369,2769.7267,13.48
1672,-1849,2492.8668,13.66
2098,-1567,2618.6052,12.01
1696,-1474,2247.0185,12.63
2216,-1443,2644.4101,11.34
2721,-1742,3230.8521,10.97
2432,-2104,3215.8109,12.63
2894,-2099,3575.0576,11.73
3280,-2025,3854.7406,11.57
3363,-1715,3775.0489,10.77
2338,-1398,2724.0866,11.12
2615,-1195,2875.1087,13.51
2147,-1218,2468.4272,10.3
1889,-1372,2334.6745,11.56
